PROPN,Ocorrências
Universidade de o estado de o Flórida,2
Associação Americana de Terapia de Casal e Familiar,2
Flórida,2
SNS,2
Paulo Cortez,2
Ernst & Young,2
Departamento de Gestão,2
Orquestra de o Universidade de o Minho,2
Godard,2
Francis Ford Coppola,2
Robert de Niro,2
Tarkovsky,2
Joe Wright,2
Almedina,2
SARS-CoV-2,2
Estudos de o Criança,2
Conselho de Centros de Ciências e Políticas de Educação,2
CCCPE,2
Gabinete de Relações Públicas,2
JusGov,2
Margarida Gonçalves,2
Rui Oliveira,2
Linguística em o UMinho,2
Eça de Queiroz,2
Automaise,2
Ernesto Pedrosa,2
Psicologia Forense,2
Dexter,2
Agenda 2030,2
Património Cultural Imaterial,2
APPACDM,2
Cantares de o Minho,2
ADCL,2
Teatro e Comunidades,2
Cleo Tavares,2
Isabél Zuaa,2
Nádia Yracema,2
Centro Audiovisual,2
Infraestruturas,2
Guerrilla Girls,2
Park Fiction,2
Diana Policarpo,2
Magdalene Odundo,2
Odundo,2
Aurélia de Souza,2
d. Julieta,2
*JM**,2
CP1,2
JM:**,2
Cinquentenário de o UMinho,2
Paul Hebert,2
Porto-Vigo,2
RAILtoLAND,2
Patrimonial,2
Unidade de Serviços de Gestão de Campi e Infraestruturas,2
ICSA2016,2
Comissão Instaladora de o UMinho,2
José Martin Afonso,2
Refosco Uniformes,2
Ereany,2
USSIC,2
O Devorador de Automóveis,2
Graça Borges,2
Res4VALOR,2
Graça Soares,2
Loads & Control,2
Engenharia Mecânica,2
Prémio Hunt,2
Maynard,2
Associação Americana de Marketing,2
Tinder,2
CrossFit,2
Pokémon Go,2
Miguel Carvalhais,2
CoLAB,2
proChild,2
Ivo Oliveira,2
Daniel Casas-Valle,2
Catarina Breia Dias,2
Miguel Azenha,2
José Granja,2
PEPU,2
Fernandes Thomaz,2
Unidade Pedagógica de Letras e Artes,2
VHS,2
Irmãos Unidos,1
Rossio,1
Mário de Sá Carneiro,1
Húmus,1
Pierre Bourdieu,1
Itamar Even-Zohar,1
Grupo de Estudos de o Cultura,1
Alfredo Pedro Guisado,1
Rebate,1
Século,1
El Tea,1
Câmara Municipal de Lisboa,1
Conselho Geral de o Juntas de Freguesia de Lisboa,1
Partido Republicano,1
João de Lobeira,1
Domingos Dias Santos,1
Direito em o Clássica de Lisboa,1
Associação de Agricultores de Pías,1
Mondariz,1
Rosalía de Castro,1
Castelao,1
Sá Carneiro,1
Pedro de Menezes,1
Casa Fernando Pessoa,1
Universidade de São Paulo,1
Manuel Miguez,1
Elias Torres Feijó,1
Xaquín Núñez Sabarís,1
Ana Gabriela Macedo,1
Ciências de o Cultura por o,1
Teoria de o Literatura,1
Literatura Portuguesa,1
Cultura Espanhola Contemporânea,1
Universidade de Alcalá,1
Filologia Galega,1
Área de Estudos Espanhóis,1
Hispano-Americanos de o Departamento de Estudos Românicos,1
Espanhol Língua,1
Grupo de Estudos de o Cultura de o USC,1
Francisco Carballo-Cruz,1
Comunidade de Trabalho Galiza-Norte de Portugal,1
Sul-Norte,1
CECOTRAN,1
Conselho Intersindical G-NP,1
EURES Transfronteiriço G-NP,1
Iacobus,1
Laboratório Internacional de Nanotecnologia,1
Euro-cidades Chaves-Verín,1
Tui-Valença,1
Agrupamento Europeu de Cooperação Territorial G-NP,1
Plano de Investimentos Conjuntos,1
Cooperação Transfronteiriça de Terceira Geração,1
Komano,1
Kanazawa,1
Aichi Prefectural,1
**Kumano,1
Viable International Academic Links across Cultural Ties in Europe and Asia,1
Agência Executiva de o Educação de o Audiovisual,1
Cultura de o Comissão Europeia,1
Ikumi Oshigi,1
Nagoya,1
Reina Taki,1
Shiho Kudo,1
Centro de Línguas BabeliUM,1
de o Japão,1
Companhia de Teatro de Braga,1
Ayaka Kobayaski,1
Shogo Oishi,1
Chihiro Kato,1
Mosteiro de Tibães,1
Kumano,1
Ise,1
UMinho*,1
International Student Center,1
Organization of Global Affairs,1
Akira Ota,1
Center ser Cultural Resource Studies,1
Ulara Tamura,1
Natividade Lopes,1
Escola Secundária Francisco de Holanda,1
Mário Lima,1
CCE,1
Rosa Vasconcelos,1
Conselho Pedagógico de o Escola de Engenharia,1
Bloco B,1
Natividade**,1
Queimada Viva,1
Souad Massi,1
Titanic,1
Everything I de o,1
I de o It For You,1
Bryan Adams,1
praia,1
* arroz de pato,1
Centro de Estudos Galegos de o UMinho,1
Uxía,1
III Dia de o,1
I Semana Cultural Convergências Portugal-Galiza,1
Oficina de Teatro Galego,1
"Workshop ""Encontros com o Cultura Galega",1
Casa Museu Rosalía de Castro,1
Mosteiro de Santa María de Oia,1
Valga,1
Área de Estudos Espanhóis de o UMinho,1
Língua e Cultura Galega,1
Fernando Groba,1
Língua e Cultura Galegas,1
Sociedade e Cultura de o Galiza,1
Bielorrússia,1
Pradolongo,1
Mafalda Arnauth,1
Milladoiro,1
Rosalía Pequeniña,1
Uxía Senlle,1
Vanesa Sotelo,1
Vilalba,1
Mondoñedo,1
Filosofia e Letras,1
los inventario,1
La,1
História Contemporânea,1
Faculdade de Geografia e História,1
Universidade Internacional Menéndez Pelayo,1
Ayer,1
Historia Social,1
Hispania,1
Ler História,1
Análise Social,1
Marcial Pons,1
Ediciones de Historia,1
Franco,1
História Agrária,1
História de o Sociedade Galega,1
Rudyard Kipling,1
Gutenberg,1
Max Weber,1
Trás-os-Montes,1
Instituto Internacional de o Casa de Mateus,1
Engenharia Metalomecânica,1
Sistemas de Informação em o UMinho,1
Carlos Alberto Sousa Duarte Neves,1
Engenharia Metalomecânica em o UMinho,1
Comissão de Coordenação e Desenvolvimento Regional de o Norte,1
Arcos de Valdevez,1
Ponte de o Barca,1
Carlos Alberto,1
BA Vidro,1
Pink Floyd,1
Centro de Línguas Modernas de o Universidade de Santiago de Compostela,1
Lei 1/2014,1
Alberto Núñez Feijóo,1
Lei,1
Extremadura,1
CPLP,1
Xurxo Fernández Carballido,1
Vilar de Infesta,1
Valença,1
Cerveira,1
Galheiro,1
Sárdoma,1
Galego e Português,1
Associação de Docentes de Português,1
Artigo Jornalístico Normalizador,1
La Voz de Galicia,1
Portal Galego de o Língua,1
Diccionario,1
Eladio Rodriguez,1
Celta de Vigo,1
Sempe Xonxa,1
Chano Piñero,1
Fuxan,1
Ventos,1
Resonet,1
Sepultura,1
Aloia,1
Mencia,1
Camões,1
Ruca,1
Noddy,1
Galinha Pintadinha,1
**Accenture**,1
Departamento Pedagógico de o Associação Académica,1
Vitória,1
Technology Strategy,1
Tecnologias de Informação,1
Henrique Santos,1
Arábia Saudita,1
Altamiro Barbosa Machado,1
Tomás de Noronha,1
**  “Forrest Gump,1
Robert Zemeckis,1
Vida,1
Ricardo Araújo Pereira,1
Braga romano,1
Espaço Ondina Braga,1
Outono,1
Carlos Alberto Moniz,1
Richard Zimler,1
Pedro Seromenho,1
Maria de o Céu Nogueira,1
Lídia Borges,1
Fernanda Santos,1
Grupo de Poesia de o UMinho,1
Zheng He,1
Austrian Visual Theater,1
Karin Schäfer Figuren,1
VianaVocale,1
Gala Drop,1
Novas Visões de o Fotografia Chinesa,1
Poemas e Coleções,1
Ren Hang,1
Lin Zhipeng,1
Pierre Bessard,1
Theater of Life,1
Tomasz Lazar,1
Diogo de Sousa,1
Biscainhos,1
Imagem,1
Academia de Música de Viana de o Castelo,1
Embaixada Lomográfica Portuguesa,1
Santa Cruz,1
Ribatejo,1
Torres Novas,1
Escola de Ciclismo de o Silveira,1
A.C.D. Milharado,1
Acreditar A.C. Malveira,1
Taça de Portugal,1
Madrid Challenge,1
Vuelta,1
Departamento de Desporto e Cultura,1
Teresa Costa,1
Júlia Formosinho,1
Cândido Varela Freitas,1
Centro de Formação de Professores e Educadores de Infância,1
Guiné,1
S. Tomé e Príncipe,1
São Tomé e Príncipe,1
Estação de caminhos-de-ferro,1
Residências Universitárias,1
Departamento de Ciências Integradas e Língua Materna,1
Unidades Orgânicas de Ensino e Investigação de o UMinho,1
DEILDS,1
Ana Gonçalves,1
Saúl Sendas,1
Lancei-o,1
Margarita Arantes,1
Nação Crioula,1
José Eduardo Agualusa,1
Claude Lelouch,1
Bill Evans,1
Miles Davis,1
Jacques Loussier,1
Tigran Hamasyan,1
Patricia Barber,1
Joe Pass,1
Dhafer Youssef Quartet,1
Rachmaninoff,1
Vivaldi,1
General Ramalho Eanes,1
Ferrenha,1
Grand Canyon,1
Outra Casa,1
Adaptação a o Trabalho,1
Estatuto de o Estudante Internacional,1
Estudante Internacional,1
Patrícia,1
Hanna Chayka,1
Hanna,1
Estudante Internacional?,1
Marcela Maia,1
Complexo Pedagógico II,1
Inclusão de o UMinho,1
serviço Académicos,1
Estudante,1
Braille,1
Monte Gordo,1
Psicologia de o Saúde,1
Retalhos,1
Chiado Editora,1
Ultramar,1
Maria Emília Frias Pita Moreira,1
Penacova,1
Carlos*,1
Curso Geral de Comércio,1
Gestão Hoteleira,1
Maria Emília,1
José Correia Neves,1
Freitas de o Amaral,1
Pinto Machado,1
António Carneiro,1
Silvéria,1
Isabel Maria,1
Rosinha,1
Maria José Gusmão,1
Maria José Ramos,1
Polícia de Braga,1
Encontro de o Universidades Portuguesas,1
Mendes Atanásio,1
História de Arte,1
Luís Mateus,1
Azeredo Perdigão,1
D. Duarte Nuno de Bragança,1
Ministério de Educação,1
Maria Emília**,1
Gabriela,1
Cravo,1
Canela,1
Jorge Amado,1
Aniki Bóbó,1
Manoel de Oliveira,1
Fado de Coimbra,1
Zeca Afonso,1
Mexidos,1
Interior,1
TUB,1
Lamaçães,1
PIDDAC,1
Instituto Ibérico Internacional de Nanotencologia,1
rodovia,1
Sameiro,1
Reforma de o Educação de Veiga Simão,1
Revolução de o 25 de Abril,1
Universidades Novas,1
professora de o Departamento de História de o Instituto de Ciências Sociais de o UMinho,1
Mário Sottomayor Cardia,1
Faculdade de Ciências de o Universidade Nova,1
Politécnico de Faro,1
conselho Coordenador de Politécnicos,1
Conselho de o Europa*,1
Diamond Research Lab,1
PARTEX-CPS,1
Sociedade Portuguesa de Química,1
Physical Society,1
Instituto de Alta Cultura,1
ex-Instituto Nacional de Investigação Científica,1
Cambridge,1
Centro de Pesquisa de Energia Atómica,1
Grande Oficial e Grã-Cruz de o Ordem de Instrução Pública,1
Medalha de Honra,1
Cátedra,1
Friedel Sellschop,1
René Voltz,1
Mike Lumb,1
Comunicação Humana,1
Santos Simões,1
norte-Norte,1
Manuel Artur Norton,1
História por o UMinho,1
Bibliotecário Arquivista,1
LEMMS,1
Faculdade de Ciências e Tecnologia de o Nova de Lisboa,1
Luis Sousa Lobo,1
Olivais,1
comissão de Ética,1
Engenharia Químico-Industrial,1
DKV,1
Estudos Gerais de Moçambique,1
Mini-golfe de Lourenço Marques,1
Unidade de Arqueologia,1
Unidade de Educação de Adultos,1
Governo sueco,1
Universidade de Linkoping,1
Universidade de Luanda,1
CET,1
Ciências Exactas e Tecnológicas,1
Cátedras Lloyd Braga,1
College London,1
Dan W. Urry,1
Departamento de Biofísica de o Universidade de Minnesota,1
Universidade de Geórgia,1
Universidade de Amesterdão,1
Marshall Stoneham,1
Ludo Kleitjens,1
Ruhr-Universitat Bochum,1
Cândido Varela de Freitas,1
Universidade Thomas Jefferson,1
Ives Gandra Martins,1
Universidade Mackenzie,1
Michael Myers,1
Universidade de Auckland,1
Laura Cavalcante Padilha,1
Universidade Federal Fluminense,1
Martha Elizabeth Shenton,1
Universidade de Harvard,1
Richard Blundell,1
Anne Lacaton,1
Jean Fhiippe Vassal,1
Gabinete de Arquitetura Lacaton & vassal,1
Física Geral,1
Escola Superior de Tecnologia e Gestão de o Instituto Politécnico de Faro,1
História de o Universidade de o Minho,1
FCLB?,1
Prémio Karingana Wa Karingana,1
Convence-me,1
o Fundação,1
Escola de Ciências de o Saúde de o UMinho,1
Nuno Saldanha,1
associação Portuguesa de Celíacos,1
Pediatria,1
Gastroenterologia Pediátrica,1
Direção-Geral de Saúde,1
ICVS/3B’s,1
Dia Mundial de o Saúde,1
Congresso Nacional sobre o Doença Celíaca,1
Sociedade Portuguesa de Gastroenterologia Pediátrica,1
Henedina,1
Instituto Monsenhor Airosa,1
papa,1
Jorge Bergoglio,1
igreja,1
Connecticut,1
Viriato,1
Departamento de Estudos Ingleses,1
Norte-Americanos,1
Germânicas,1
Manuel Barreto,1
Mendes Atanázio,1
Helen,1
António Victorino d’Almeida,1
Escola Profissional Artística de o Vale de o Ave,1
Academia Nacional Superior de Orquestra,1
Escola Superior de Música e Artes de o Espectáculo,1
Orquestra de o Norte,1
Kryzysztof Penderecki,1
Benjamin Zander,1
Joazas Domarkas,1
Pedro Burmester,1
António Rosado,1
Paulo de Carvalho,1
Nuno Guerreiro,1
Expensive Soul,1
Mão Morta,1
Sinfonia,1
Sinfonia Nº6’,1
Victorino d’Almeida,1
Presidente de o república,1
Departamento de Música de o Universidade,1
Lapa,1
Cine Nomine,1
Filarmonia de o Beiras,1
Fundação Orquestra Estúdio,1
Violinolas,1
O Balão de o João,1
O Principezinho,1
Antoine de Saint-Exupéry,1
O Pianista,1
São Petersburgo,1
* Bacalhau,1
Roberto Sousa,1
Ana Maria Soares,1
Natal!,1
Menino Jesus,1
American Marketing Association,1
Escola de Economia e Gestão de o Universidade de o Minho,1
Roma Tre,1
Siena,1
Desenho Ibérico,1
Cerejeira Fontes,1
Nuno capa,1
Plica,1
OH!,1
Habitat ser Humannity,1
Victor Hugo Cardinali,1
Parque de o Nações,1
Scanias,1
Ivecos,1
António Ovídio,1
Roussas,1
Programa de Ocupação de Tempos Livres de Jovens de o IPJ,1
Física Aplicada - Ramo Ótica,1
Sociologia - ramo Organizações,1
Sociologia de o Saúde,1
Circo Cardinali,1
Festa de Natal,1
Open Day,1
Deeplyzen Day Spa,1
Feira de Natal,1
Campo de Férias de Natal,1
Movimento de Apoio a o Refugiados,1
MAR,1
AFUM?,1
M. Carvalho de o Silva,1
o Lista de Schindler,1
S. Spielberg,1
O Gladiador,1
show me the place,1
Leonard Cohen,1
Eusébio,1
Creche/Infantário,1
Andreia Sofia Oliveira,1
de o Síria,1
Líbano,1
Primavera,1
Investigadora de o Centro de Investigação Interdisciplinar de Direitos Humanos,1
Maria de o Glória Oliveira,1
Lola,1
São Martinho de o Conde,1
Arrumávamos,1
Escola de Aquitetura,1
Bar de o Professores,1
Tecnologia e Arte Digital,1
A. D. Lola,1
Novos Projetos de Ensino,1
Filipe Vaz,1
Projeto de Ensino a Distância,1
European Credits Transfer System,1
**cursosonline.uminho.pt**,1
Contactologia Avançada,1
Contactologia Avançada e Superfície Ocular,1
José Manuel González Meijome,1
Geoparques,1
Terapia Visual,1
Cuidados Paliativos,1
estomaterapia e Investigação em Enfermagem,1
Blackboard,1
Escolas e Institutos?,1
ALTO - Perfis,1
Pultrudidos,1
QREN,1
Agência de Inovação,1
AdI,1
Parque de o Senhora de o Graça,1
Ponte S. Silvestre,1
Instituto para a Sustentabilidade e Inovação em Estruturas de Engenharia,1
ALTO,1
CiviTest Lda,1
Tecnipor,1
Casal,1
Vítor Rodrigues,1
Sistemas de Informática,1
Paula Costa,1
Biologia e Genética Molecular,1
São de Barcelos,1
Rio Covo Santa Eugénia,1
Vítor de Carapeços,1
Biologia ou Química,1
Biologia Aplicada em o UMinho,1
América de o Norte,1
Mountain View,1
Teresa Lino Neto,1
States,1
Vítor**,1
Shogun,1
James Clavell,1
** The Pianist,1
** Radio,1
Lana del Rey,1
Quora,1
Coursera,1
Ramen,1
Tori King,1
Singapura,1
Adega,1
San Jose,1
Patrick Pichette,1
CFO,1
Paula**,1
** “ The Double Hélix,1
James Watson,1
** “ The Intouchables,1
Olivier Nakache,1
Imagine Dragons,1
Mark Zuckerberg,1
Machu Picchu,1
Booker Washington,1
Zélia Anastácio,1
Fundação Nacional de o Sono,1
Asociación Nacional de Psicología y Educación,1
Manuel Rocha Armada,1
Escola de Formação de Executivos,1
Peace I,1
Electra,1
Swap & Transfer,1
Areas,1
Marhaba,1
ANJE,1
EY,1
AIMinho,1
ACIG,1
Field Days,1
CEO's,1
Observatório de Acompanhamento,1
Alumni EEG,1
Manuel José Rocha Armada,1
Organização e Gestão de Empresas,1
Instituto Superior de Economia e Gestão,1
ISEG,1
Management Science,1
Universidade de Kent,1
Business Administration,1
Núcleo de Investigação em Politicas Económicas,1
Academia Mexicana de Ciências Administrativas,1
European Journal of Finance,1
Frontiers in Finance and Economics,1
The International Journal of Business,1
Finance India,1
Conferência Internacional de o Portuguese Finance Network,1
European Financial Management Association Conference,1
Annual Conference on Real Options: Theory Meets Practice,1
Multinacional Finance Society,1
MFS,1
European Finance Association,1
EFA,1
Global Finance Conference,1
GFC,1
London Business School,1
Wharton School,1
Internacionalização,1
Estratégia Nacional de Investigação e Inovação para um Especialização Inteligente 2014-2020,1
Tenderão,1
David Ricardo,1
Filipa Soares,1
FOX Sports,1
TV2 Denmark,1
Swissinfo,1
We Fix You,1
L’Indro,1
AEP,1
Forestis,1
SBS Radio Australia,1
Comunicação Social?,1
Rádio Clube de Penafiel,1
RTP-Porto,1
o Bola,1
INOV Contacto,1
Radio Australia,1
swissinfo,1
TV 2,1
Denmark,1
Fox Sports,1
Economia ou Cultura,1
Forward Planning,1
Bowie,1
Thierry Frémaux,1
Fiji,1
universidade de Princeton,1
B.A.,1
Universidade de Yale,1
Jacob Viner Professor de o Universidade de Princeton,1
IDEAS,1
RePEc,1
Manuel Caldeira Cabral,1
Prémio Onassis,1
Comércio Internacional,1
Elhanan Helpman,1
ISIS,1
Leste Asiático,1
Galápagos,1
Leon Uris,1
Bob Welch,1
The Sting,1
Masai Mara,1
CWTS Leiden,1
Times Higher Education,1
ICVS/3B,1
Revolução 4.0,1
Future Emerging Technologies,1
FET,1
ITNs,1
Marie Sklodowska-Curie,1
Euro-Atlântico,1
Iberoamericano,1
CYTED,1
Governo português,1
Massachusetts Institute of Technology,1
CMU,1
Carnegie Mellon University,1
UT Austin,1
Universidade de o Texas em Austin,1
Harvard Medical School,1
Agência Nacional de Inovação,1
ANI,1
ON2,1
IC&DT,1
Instituto Europeu de patente,1
Centro de Valorização de Resíduos,1
Centro Clínico Académico,1
SpinPark,1
Revista UMinho,1
Professor Gene M. Grossman,1
Universidade de Princeton,1
Prémio,1
Vila Cova de o Lixa,1
Departamento de Ciências de o Comunicação de o Instituto de Ciências Sociais de o UMinho,1
Sociologia em o Universidade de Ciências Humanas de Estrasburgo,1
Comunicação e Sociedade,1
Revista Lusófona de Estudos Culturais,1
Lusocom,1
Lusofonia,1
Interculturalidade - Promessa e Travessia,1
Ecrãs,1
L’Imaginaire des Médias,1
Poder - Ensaio de Semiótica Social,1
Inversa Navegação - O Discurso de o Identidade,1
Verão,1
Mafrense,1
Manhã Submersa,1
Vergílio Ferreira,1
Fátima,1
mafra,1
Instituto Superior de Estudos Teológicos,1
Concílio Vaticano II,1
Igreja,1
Conferência Episcopal Portuguesa,1
frei Bento Domingues,1
Governo francês,1
Movimento de o Forças Armadas,1
Estrada de o Luz,1
Baixa,1
Engels,1
Universidade de Ciências Humanas,1
Manifesto Comunista,1
Seminário,1
De La Hougue,1
O Capital,1
Roland Sublon,1
Michel Foucault,1
Les Mots et les Choses,1
Comissão Organizadora de o Colóquio o Estado Novo,1
Das Origens a o Fim de o Autarcia,1
o olho de Deus em o Discurso Salazarista,1
António Costa Pinto,1
Luís Reis Torgal,1
Foucault,1
olho de Deus em o Discurso Salazarista,1
José Augusto Mourão,1
Francisco Videira Pires,1
Sociologia de o Universidade de o Beira Interior,1
Videira Pires,1
Estado novo,1
Regressara,1
UBI,1
Sociologia de o Organizações,1
Semiótica e Teoria e Análise de o Discurso,1
Sociologia de o Cultura,1
Sociologia e a Comunicação?,1
Faculdades de Ciências Sociais e Humanas,1
Universidade Técnica,1
Instituto Superior de Ciências Sociais e Políticas,1
Associação Portuguesa de Ciências de o Comunicação,1
Federação Lusófona de Ciências de o Comunicação (Lusocom,1
Confederação Iberoamericana de o Associações Científicas e Académicas de Comunicação (Confibercom,1
Cholula,1
Puebla,1
São Miguel,1
Hyderabad,1
Antena 1,1
Governo Sombra,1
Quadratura de Círculo,1
Pacheco Pereira,1
Cimeira de Paris,1
Anabela Carvalho,1
COP21,1
Cimeira de o Clima,1
Business and Industry Non-Governamental Organizations,1
The Guardian,1
Democracy Now!,1
Acordo de Paris,1
Acordo,1
Cimeira de Quioto,1
RESCLIMA,1
COMPON,1
Comparing Climate Change Policy Networks,1
Acção COST,1
INOGOV – Innovations in Climate Governance: Sources,1
Patterns and Effects,1
Secção de Comunicação de Ciência,1
Associação Europeia de Investigação e Educação em Comunicação,1
ECREA,1
Associação Internacional de Comunicação Ambiental,1
Academia Real de o Ciências de o Suécia,1
Bellagio,1
Fundação Rockfeller,1
Comunicação e Envolvimento Político,1
Questões Ambientais,1
Agência Portuguesa de o Ambiente,1
Movimento de Transição,1
Painel Intergovernamental,1
Alterações Climáticas,1
The New York Times,1
Relatório de Sustentabilidade,1
Global Reporting Initiative,1
In Accordance – comprehensive,1
G4,1
Programa de Ação para o Quadriênio,1
Estatutos,1
Plano Estratégico de o UMinho,1
Ciências de o Sustentabilidade,1
Sustentabilidade,1
Relatório de Sustentabilidade 2014,1
Sistema de Apoios,1
Modernização Administrativa,1
Agência de o UMinho para o Energia e Ambiente,1
AUMEA,1
GJ,1
Sara Pereira Vieira,1
Cordeiro,1
Alice Botelho,1
PRODEP I,1
POCI,1
Apoio a o Planeamento,1
Gestão de Projeto,1
B,1
Miguel de Sousa Tavares,1
Lodo em o Cais,1
Elia Kazan,1
Ilha de Guadalupe,1
Caraíbas,1
Lobito,1
** Querer,1
Design e Marketing de o Escola de Engenharia,1
Organização Mundial de o Saúde,1
André Paiva,1
Meire Santos,1
André Catarino,1
Noise’ e ‘Hertz,1
Bárbara Figueiredo,1
Centro de Investigação em Psicologia de o Escola de Psicologia de o Universidade de o Minho,1
criminologia,1
Câmaras Municipais de Guimarães,1
Serviço de Psicologia?,1
Serviço de psicologia,1
Psicologia Clínica,1
Universidade de o Califórnia,1
Universidades de Granada,1
Huelva,1
Santiago,1
Federal de Pernambuco,1
Católica de Pelotas,1
Simon Fraser,1
Grupo de Investigação em Perturbações Alimentares de o UMinho,1
Programa de Ajuda Personalizado para pessoa,1
Sociedade Internacional de Investigação em Perturbações Alimentares,1
Sociedade para a Investigação em psicoterapia,1
Associação Americana de Psicologia,1
Associação de o Psicólogos Portugueses,1
Rock in Portugal,1
Tozé Brito,1
Nuno Calado,1
Álvaro Costa,1
António Garcez,1
Eduardo Morais,1
Adolfo Macedo,1
Miguel Pedro,1
José Castro,1
Sérgio Castro,1
Vítor Rua,1
José Serra,1
Hélio Morais,1
João Santos,1
Victor Gomes,1
IT,1
Pepadesigns,1
Informática?,1
José Ribeiro,1
Américo de o Silva,1
Mariza,1
Carminho,1
o Ideia de Paisagem,1
José Mário Branco,1
** “I Love Kuduro,1
Elvis Presley,1
Bon Jovi,1
Rammstein,1
Coreia de o norte,1
Butão,1
José Carlos Oliveira,1
Núcleo de Informática de Guimarães,1
Unix,1
Palácio Vila Flor?,1
Rank Xerox,1
DOS,1
Departamento de Matemática para a Ciência e Tecnologia,1
web,1
Raul Ferreira,1
Paulo Cardoso,1
José Manuel Gonçalves,1
Raúl Ivónio,1
José Carlos Freitas,1
Mauro Fernandes,1
Trigueiros,1
Santos Pais,1
ATV,1
Muralhas BTT,1
Parque Nacional Peneda-Gerês,1
Sun Tzu,1
Schindler,1
Steven Spielberg,1
Elejo,1
Waltzing Along,1
Caminho de Santiago,1
Brás,1
H. Balzac,1
Ecoprolive,1
**CVR,1
Associação Portuguesa de Fundição,1
Departamento de I&DT,1
AGROGAS**,1
BIOMASUD,1
OiLCA** - melhoria,1
PVC,1
Intercâmbio,1
VALUE,1
Sociedade Ponto Verde,1
Faculdade de Engenharia de o Porto,1
Laboratório Nacional de Engenharia Civil,1
fibrenamics,1
Smart Waste Portugal,1
Plataforma,1
Centrohabitat,1
IKEA,1
Siderurgia Nacional,1
Infraestruturas de Portugal,1
REFER,1
Europa&C Kraft Viana,1
Braval,1
Resinorte,1
Cimpor,1
Secil,1
Bosch Portugal,1
Grupo Amorim,1
Sonae Indústria,1
RAR - Refinarias de Açúcar Reunidas,1
Continental Mabor,1
PSA Peugeot Citroen Portugal,1
Toyota Caetano Portugal,1
Lipor,1
Cátedra PT-FLAD em Cidades e Governação Inteligentes,1
Sara Fernandes,1
Unidade de o Universidade de o Nações Unidas,1
Luís Soares Barbosa,1
Luís Paulo Santos,1
Paulo Novais,1
José Nuno Oliveira,1
José Soromenho-Ramos,1
Unidade Operacional em Governação Electrónica de o Universidade de o Nações Unidas,1
Unidade,1
Ivy League,1
Smart Cities,1
Smart City,1
Smart Cities & Smart Governance,1
Departamento de Informática de o Escola de Engenharia de o UMinho,1
Portugal Telecom,1
Projeto Especial para o Governação Electrónica UMinho-EGOV,1
Investigadora de o HASLab,1
INESC TEC,1
ex-PhD Fellow de o Universidade de o Nações Unidas,1
Unidade Operacional em Governação Eletrónica,1
CBMA de o UMinho,1
Huddersfield,1
Pavia,1
Descobrimentos,1
Y,1
Martin Richards,1
Universidade de Huddersfield,1
Tejo,1
Idade de o Cobre,1
Zambujal,1
São Pedro,1
Azambuja,1
Chibanes,1
Palmela,1
V,1
Terra Prometida,1
Nature Communications,1
Sudeste Asiático,1
Pacífico,1
orang asli,1
Malásia,1
Kalahari,1
Genomes,1
Genética Molecular,1
Bioinformática,1
Biologia em o Universidade de o Porto,1
UP,1
Genética Humana,1
Universidade de Leeds,1
British Academy,1
Instituto de Patologia e Imunologia Molecular de o UP,1
IPATIMUP,1
Google**,1
**Departamento de Matemática e Aplicações**  de o UMinho,1
Larry Page,1
Sergey Brin,1
Universidade de Stanford,1
Yahoo,1
Altavista,1
Archie,1
Stanford,1
Centro de Matemática de o UMinho,1
Kuwait,1
Mars Climate Orbiter,1
Dona Domotics New Applications,1
Android,1
T2,1
Benelux,1
Maria de o Rosário Pereira,1
Dept,1
ISLA,1
Instituto Superior de Línguas e Administração,1
Centro de Engenharia Civil,1
DEC?,1
Instituto Politécnico de o Cávado,1
Orçamento de Estado,1
Tradução e Interpretação Especializada,1
ISCAP,1
Instituto Superior de Contabilidade e Administração de o Porto,1
Giselle Moraes,1
Cristina Fernandes,1
SPA,1
Madre Teresa de Calcutá,1
Ghandi,1
Sociedade Protectora de o Animais!,1
Ciências Jurídicas,1
Centro de Estudos Jurídicos,1
Biblioteca de Direito,1
criminologia e justiça Criminal,1
Departamento de Ciências Jurídicas Gerais,1
Centro de Investigação Interdisciplinar em Direitos Humanos,1
Filosofia de o Direito,1
Ciências Jurídicas Empresariais,1
Filosofia Jurídico-Política de o Krausismo Português,1
Teoria de o Prova,1
La Argumentación,1
NEDAL,1
CEDU,1
Prémio Jovens Empreendedores,1
Microsoft Ventures,1
Healthium,1
Healthcare Software Solutions,1
António Costa,1
Diogo Alves,1
Pedro Maia,1
Diogo Martins,1
Paulo Rodrigues,1
Diana Cruz,1
Maria Silva,1
Ciências de o Nutrição,1
Spin-off GenSYS,1
GenSYS - Generic Systems,1
Paulo Martins,1
Guilherme Pereira,1
Filipa Teixeira,1
João Gomes,1
José Silva,1
Pedro Melo,1
Rui Silva,1
Departamento de Produção e Sistemas de o Escola de Engenharia de o UMinho,1
SpinUM - Concurso de Ideias de Negócio,1
Heitor Benfeito,1
Portugal Ventures,1
Pedro Martins,1
Luís Mendonça,1
CP I,1
Minas,1
Borralha,1
salamonde,1
Ia,1
Gabinete de Sistemas de Informação de o UMinho,1
Oliveira,1
Simone [Costa,1
Redes,1
Comunicações,1
Ciências!,1
Rancho Folclórico,1
Grupo de Fados,1
CELTA,1
Certame Lusitano de Tunas Académicas,1
Roque Santeiro,1
Astromar Junqueira,1
Comele,1
